entropy,mi,ami,dataset,name,n
4.97235339650745,3.8698439431284593,0.023795169530785067,shapeworld_ref,ref,0
4.9598392883427405,3.413127176939527,0.02282311835593014,shapeworld_ref,ref,1
4.989944054419374,3.949309600608167,0.021622735575514473,shapeworld_ref,ref,2
4.967657857644905,3.7702705936484397,0.02419221345740749,shapeworld_ref,ref,3
4.983503886698774,3.883092569065005,0.022175544381637772,shapeworld_ref,ref,4
1.7107666441004918,4.548240050329294,0.07961201104468256,cub,setref,0
1.7981950911797602,4.729525920143436,0.0385557842803186,cub,setref,1
1.755553142087635,4.662646616286213,0.05354082377373528,cub,setref,2
1.7707430608081074,4.688833198869313,0.046962832426946446,cub,setref,3
1.7409125438259165,4.63406104830782,0.07017863619704548,cub,setref,4
6.302989260285707,3.7295801544458005,0.03349783386330562,cub,ref,0
6.38373207305348,4.351934963092153,0.021973039336253743,cub,ref,1
6.202928219262636,3.6033108695388103,0.040694696369373645,cub,ref,2
6.440754507955003,4.460131163197173,0.015179236209054965,cub,ref,3
6.368359209892824,4.265672058206517,0.028607398254153888,cub,ref,4
