metric,lang_type,value,split,dataset,name,i
loss,acre,0.5367438793182373,train,cub,concept,0
acc,acre,0.794614117317209,train,cub,concept,0
bleu,acre,0.8713741762265069,train,cub,concept,0
loss,ground_truth_1,0.23200681805610657,train,cub,concept,0
acc,ground_truth_1,0.88703002841699,train,cub,concept,0
bleu,ground_truth_1,1.0,train,cub,concept,0
loss,same_concept,0.2324240803718567,train,cub,concept,0
acc,same_concept,0.8870446727774566,train,cub,concept,0
bleu,same_concept,1.0,train,cub,concept,0
loss,random,1.186123013496399,train,cub,concept,0
acc,random,0.5021396235762674,train,cub,concept,0
bleu,random,0.5570886014156696,train,cub,concept,0
loss,any_concept,2.5200679302215576,train,cub,concept,0
acc,any_concept,0.5011110656948708,train,cub,concept,0
bleu,any_concept,0.5206443739321454,train,cub,concept,0
loss,closest_concept,2.234548568725586,train,cub,concept,0
acc,closest_concept,0.47257310920527484,train,cub,concept,0
bleu,closest_concept,0.5981449841347319,train,cub,concept,0
loss,ground_truth_2,0.23079296946525574,train,cub,concept,0
acc,ground_truth_2,0.8880620023457633,train,cub,concept,0
bleu,ground_truth_2,0.9986350988528261,train,cub,concept,0
n,,29.731494920174164,train,cub,concept,0
loss,acre,1.0172724723815918,test,cub,concept,0
acc,acre,0.6552996127398687,test,cub,concept,0
bleu,acre,0.8310449954406671,test,cub,concept,0
loss,ground_truth_1,0.3166639804840088,test,cub,concept,0
acc,ground_truth_1,0.8538815042001509,test,cub,concept,0
bleu,ground_truth_1,1.0,test,cub,concept,0
loss,same_concept,0.31612467765808105,test,cub,concept,0
acc,same_concept,0.8528428877836537,test,cub,concept,0
bleu,same_concept,1.0,test,cub,concept,0
loss,random,1.2015174627304077,test,cub,concept,0
acc,random,0.49498669519008553,test,cub,concept,0
bleu,random,0.59098189365221,test,cub,concept,0
loss,any_concept,2.521606206893921,test,cub,concept,0
acc,any_concept,0.503721714984581,test,cub,concept,0
bleu,any_concept,0.5572303595206394,test,cub,concept,0
loss,closest_concept,1.5701625347137451,test,cub,concept,0
acc,closest_concept,0.5540878942566173,test,cub,concept,0
bleu,closest_concept,0.7156591211717718,test,cub,concept,0
loss,ground_truth_2,0.3142462968826294,test,cub,concept,0
acc,ground_truth_2,0.8545472830692715,test,cub,concept,0
bleu,ground_truth_2,0.9979590951662364,test,cub,concept,0
n,,2.43042071197411,test,cub,concept,0
loss,acre,0.35567212104797363,train,cub,concept,1
acc,acre,0.857542120315751,train,cub,concept,1
bleu,acre,0.947956390855102,train,cub,concept,1
loss,ground_truth_1,0.2538200318813324,train,cub,concept,1
acc,ground_truth_1,0.8937617950914312,train,cub,concept,1
bleu,ground_truth_1,1.0,train,cub,concept,1
loss,same_concept,0.25565004348754883,train,cub,concept,1
acc,same_concept,0.8934337510217654,train,cub,concept,1
bleu,same_concept,1.0,train,cub,concept,1
loss,random,1.1127169132232666,train,cub,concept,1
acc,random,0.5006868528577797,train,cub,concept,1
bleu,random,0.6918916280205026,train,cub,concept,1
loss,any_concept,2.2194199562072754,train,cub,concept,1
acc,any_concept,0.5012296890325013,train,cub,concept,1
bleu,any_concept,0.5621498657554304,train,cub,concept,1
loss,closest_concept,1.9836187362670898,train,cub,concept,1
acc,closest_concept,0.47569051283378266,train,cub,concept,1
bleu,closest_concept,0.6606082499389809,train,cub,concept,1
loss,ground_truth_2,0.25310415029525757,train,cub,concept,1
acc,ground_truth_2,0.8945028253837652,train,cub,concept,1
bleu,ground_truth_2,0.9983304857212666,train,cub,concept,1
n,,29.731494920174164,train,cub,concept,1
loss,acre,0.5919494032859802,test,cub,concept,1
acc,acre,0.7646804389659162,test,cub,concept,1
bleu,acre,0.9334374816280451,test,cub,concept,1
loss,ground_truth_1,0.349452406167984,test,cub,concept,1
acc,ground_truth_1,0.8546338354660256,test,cub,concept,1
bleu,ground_truth_1,1.0,test,cub,concept,1
loss,same_concept,0.3494251072406769,test,cub,concept,1
acc,same_concept,0.8539214517479731,test,cub,concept,1
bleu,same_concept,1.0,test,cub,concept,1
loss,random,1.0936440229415894,test,cub,concept,1
acc,random,0.5079294383758989,test,cub,concept,1
bleu,random,0.727838037607012,test,cub,concept,1
loss,any_concept,2.2066049575805664,test,cub,concept,1
acc,any_concept,0.5017976135893486,test,cub,concept,1
bleu,any_concept,0.5834886817576563,test,cub,concept,1
loss,closest_concept,1.478492259979248,test,cub,concept,1
acc,closest_concept,0.5467177206742144,test,cub,concept,1
bleu,closest_concept,0.7614114513981445,test,cub,concept,1
loss,ground_truth_2,0.35587987303733826,test,cub,concept,1
acc,ground_truth_2,0.8537283760094928,test,cub,concept,1
bleu,ground_truth_2,0.9978961384820247,test,cub,concept,1
n,,2.434359805510535,test,cub,concept,1
loss,acre,2.4027488231658936,train,cub,concept,2
acc,acre,0.399497322188813,train,cub,concept,2
bleu,acre,0.8859547746868401,train,cub,concept,2
loss,ground_truth_1,2.4878156185150146,train,cub,concept,2
acc,ground_truth_1,0.3901273853092906,train,cub,concept,2
bleu,ground_truth_1,1.0,train,cub,concept,2
loss,same_concept,2.484529733657837,train,cub,concept,2
acc,same_concept,0.38989214894275886,train,cub,concept,2
bleu,same_concept,1.0,train,cub,concept,2
loss,random,1.189064383506775,train,cub,concept,2
acc,random,0.5021376367439113,train,cub,concept,2
bleu,random,0.6097803806734997,train,cub,concept,2
loss,any_concept,1.8689311742782593,train,cub,concept,2
acc,any_concept,0.5010502777089719,train,cub,concept,2
bleu,any_concept,0.5108443142996588,train,cub,concept,2
loss,closest_concept,1.5957772731781006,train,cub,concept,2
acc,closest_concept,0.5197203596177015,train,cub,concept,2
bleu,closest_concept,0.640142508540753,train,cub,concept,2
loss,ground_truth_2,0.21048834919929504,train,cub,concept,2
acc,ground_truth_2,0.9101386165234914,train,cub,concept,2
bleu,ground_truth_2,0.4265241581259151,train,cub,concept,2
n,,29.738751814223512,train,cub,concept,2
loss,acre,1.9363163709640503,test,cub,concept,2
acc,acre,0.4179161190440985,test,cub,concept,2
bleu,acre,0.8826399233466619,test,cub,concept,2
loss,ground_truth_1,1.8926489353179932,test,cub,concept,2
acc,ground_truth_1,0.42643808959902685,test,cub,concept,2
bleu,ground_truth_1,1.0,test,cub,concept,2
loss,same_concept,1.9029983282089233,test,cub,concept,2
acc,same_concept,0.42697071361785804,test,cub,concept,2
bleu,same_concept,1.0,test,cub,concept,2
loss,random,1.1727349758148193,test,cub,concept,2
acc,random,0.5082956167520799,test,cub,concept,2
bleu,random,0.639436943345746,test,cub,concept,2
loss,any_concept,1.8942375183105469,test,cub,concept,2
acc,any_concept,0.4965912218893892,test,cub,concept,2
bleu,any_concept,0.5558189081225027,test,cub,concept,2
loss,closest_concept,1.61241614818573,test,cub,concept,2
acc,closest_concept,0.47691079509034057,test,cub,concept,2
bleu,closest_concept,0.7621571238348911,test,cub,concept,2
loss,ground_truth_2,0.3036230802536011,test,cub,concept,2
acc,ground_truth_2,0.8600466161787748,test,cub,concept,2
bleu,ground_truth_2,0.4752330226364861,test,cub,concept,2
n,,2.44148244473342,test,cub,concept,2
loss,acre,0.4316200017929077,train,cub,concept,3
acc,acre,0.7857325609525044,train,cub,concept,3
bleu,acre,0.8966634130470152,train,cub,concept,3
loss,ground_truth_1,0.3294055759906769,train,cub,concept,3
acc,ground_truth_1,0.8256095724428149,train,cub,concept,3
bleu,ground_truth_1,1.0,train,cub,concept,3
loss,same_concept,0.3298588991165161,train,cub,concept,3
acc,same_concept,0.8257550102120321,train,cub,concept,3
bleu,same_concept,1.0,train,cub,concept,3
loss,random,1.0301055908203125,train,cub,concept,3
acc,random,0.5058999611637311,train,cub,concept,3
bleu,random,0.6475256222547592,train,cub,concept,3
loss,any_concept,2.0087783336639404,train,cub,concept,3
acc,any_concept,0.5057989342693238,train,cub,concept,3
bleu,any_concept,0.5635685700341639,train,cub,concept,3
loss,closest_concept,1.733901858329773,train,cub,concept,3
acc,closest_concept,0.5060336842354826,train,cub,concept,3
bleu,closest_concept,0.6723865300146413,train,cub,concept,3
loss,ground_truth_2,0.3278651237487793,train,cub,concept,3
acc,ground_truth_2,0.826772579831458,train,cub,concept,3
bleu,ground_truth_2,0.9986295754026406,train,cub,concept,3
n,,29.738751814223512,train,cub,concept,3
loss,acre,0.9104864597320557,test,cub,concept,3
acc,acre,0.6413715165852508,test,cub,concept,3
bleu,acre,0.8610157546502515,test,cub,concept,3
loss,ground_truth_1,0.4275684356689453,test,cub,concept,3
acc,ground_truth_1,0.7767177216063803,test,cub,concept,3
bleu,ground_truth_1,1.0,test,cub,concept,3
loss,same_concept,0.4263874292373657,test,cub,concept,3
acc,same_concept,0.7793209176922289,test,cub,concept,3
bleu,same_concept,1.0,test,cub,concept,3
loss,random,1.0171599388122559,test,cub,concept,3
acc,random,0.5131757763885308,test,cub,concept,3
bleu,random,0.6526180513680375,test,cub,concept,3
loss,any_concept,1.9930180311203003,test,cub,concept,3
acc,any_concept,0.5083022740288835,test,cub,concept,3
bleu,any_concept,0.5731025299600535,test,cub,concept,3
loss,closest_concept,1.2414839267730713,test,cub,concept,3
acc,closest_concept,0.5734287731438756,test,cub,concept,3
bleu,closest_concept,0.7626897470039972,test,cub,concept,3
loss,ground_truth_2,0.42444294691085815,test,cub,concept,3
acc,ground_truth_2,0.7789813708647907,test,cub,concept,3
bleu,ground_truth_2,0.9980559254327573,test,cub,concept,3
n,,2.4769129287598943,test,cub,concept,3
loss,acre,0.6175765991210938,train,cub,concept,4
acc,acre,0.8046744851381852,train,cub,concept,4
bleu,acre,0.8464971530828055,train,cub,concept,4
loss,ground_truth_1,0.18850795924663544,train,cub,concept,4
acc,ground_truth_1,0.9242279262394949,train,cub,concept,4
bleu,ground_truth_1,1.0,train,cub,concept,4
loss,same_concept,0.18544892966747284,train,cub,concept,4
acc,same_concept,0.9255641879763121,train,cub,concept,4
bleu,same_concept,1.0,train,cub,concept,4
loss,random,1.3112947940826416,train,cub,concept,4
acc,random,0.5013972755372088,train,cub,concept,4
bleu,random,0.6085505124450947,train,cub,concept,4
loss,any_concept,2.7383830547332764,train,cub,concept,4
acc,any_concept,0.500326997031521,train,cub,concept,4
bleu,any_concept,0.5060634455832104,train,cub,concept,4
loss,closest_concept,2.39635968208313,train,cub,concept,4
acc,closest_concept,0.4732542779720254,train,cub,concept,4
bleu,closest_concept,0.610483162518302,train,cub,concept,4
loss,ground_truth_2,0.18366751074790955,train,cub,concept,4
acc,ground_truth_2,0.9262562340273981,train,cub,concept,4
bleu,ground_truth_2,0.9985085407515922,train,cub,concept,4
n,,29.738751814223512,train,cub,concept,4
loss,acre,1.1255923509597778,test,cub,concept,4
acc,acre,0.6731957513576103,test,cub,concept,4
bleu,acre,0.7870741323054556,test,cub,concept,4
loss,ground_truth_1,0.2726171612739563,test,cub,concept,4
acc,ground_truth_1,0.8728362294948212,test,cub,concept,4
bleu,ground_truth_1,1.0,test,cub,concept,4
loss,same_concept,0.27030983567237854,test,cub,concept,4
acc,same_concept,0.8752729811816019,test,cub,concept,4
bleu,same_concept,1.0,test,cub,concept,4
loss,random,1.2893834114074707,test,cub,concept,4
acc,random,0.5093408895758156,test,cub,concept,4
bleu,random,0.63254932776283,test,cub,concept,4
loss,any_concept,2.7723641395568848,test,cub,concept,4
acc,any_concept,0.49515314028113483,test,cub,concept,4
bleu,any_concept,0.5266311584553921,test,cub,concept,4
loss,closest_concept,1.6024153232574463,test,cub,concept,4
acc,closest_concept,0.547949412436821,test,cub,concept,4
bleu,closest_concept,0.7900133155792333,test,cub,concept,4
